newid,ref_yr,quarter,food_share,quarterly_income
5688684,2025,1,0.28909289372867419235,50000.0000000000000
5686523,2024,4,0.29801093404714180764,7500.0000000000000000
5827122,2024,4,0.03622151271550217564,21250.0000000000000
5680923,2024,4,0.04297075635839189279,2666.00000000000000000
5666482,2024,3,0.06079491545243595059,133591.7500000000000
5682141,2024,2,0.06613171001672832886,16660.0000000000000
5607111,2024,1,0.02380675203743736415,25112.0000000000000
5348244,2024,1,0.04100561386423794307,29000.0000000000000
5825773,2025,1,0.44252671717376270193,29750.0000000000000
5571183,2024,2,0.58639562158096355330,23250.0000000000000
5681012,2024,3,0.00536907539683723657,7162.5000000000000000
5586223,2024,3,0.33726812816226407583,7680.0000000000000000
5595562,2024,2,0.39307787391838042428,18000.0000000000000
5675181,2024,2,0.04463218018850043914,43000.0000000000000
5852681,2024,4,0.01700756453694593125,29500.0000000000000
5358604,2024,1,0.11681863906293831360,10000.0000000000000000
5959281,2025,1,0.52613240417997474778,5073.0000000000000000
5425943,2024,1,0.02588433760348427348,11248.0000000000000000
5603663,2024,3,0.30000000000000000000,2400.00000000000000000
5595574,2024,4,0.01817023105526672108,3444.75000000000000000
5557644,2024,3,0.02477126090825777031,8624.0000000000000000
5845391,2024,4,0.01984324276899484030,23816.0000000000000
5825951,2024,3,0.00540213252566606995,38098.0000000000000
5440983,2024,1,0.33138138282994215358,84375.0000000000000
5555842,2024,1,0.13743475611372704872,22780.0000000000000
5593284,2024,4,0.33926201221071883032,4241.25000000000000000
5427194,2024,2,0.02683220641986027921,3000.00000000000000000
5366244,2024,1,0.01083333153067237463,18750.0000000000000
5431563,2024,1,0.03059312015224474496,11250.0000000000000000
5424673,2024,1,0.06840415038078615829,54534.0000000000000
5428973,2024,1,0.56253023055960129033,68250.0000000000000
5594124,2024,4,0.01734015930080169198,9298.0000000000000000
5820142,2024,4,0.02031556503186858616,17324.0000000000000
5676484,2025,1,0.06510110195891969332,27750.0000000000000
5863794,2024,4,0.35061605887721026183,15500.0000000000000
5863001,2024,4,0.04667257602668253881,18000.0000000000000
5853431,2024,4,0.01614265886180751422,524.00000000000000000
5676804,2025,1,0.36509433962259845586,6495.0000000000000000
5432933,2024,1,0.01624846407547590977,47500.0000000000000
5819532,2024,4,0.01044768322613948047,615.00000000000000000
5844852,2025,1,0.06820387753631909299,5916.7500000000000000
5846144,2025,1,0.40050697084968378577,3375.00000000000000000
5571013,2024,2,0.40440366972447383217,13750.0000000000000
5554824,2024,3,0.35754521197677911536,5799.0000000000000000
5827881,2024,3,0.23037676413300637367,26825.0000000000000
5827851,2024,3,0.04970690656219537480,56906.0000000000000
5675903,2024,4,0.67234689996099090216,8248.0000000000000000
5682511,2024,2,0.04357792092085913989,51500.0000000000000
5603883,2024,3,0.05148574467403029154,82750.0000000000000
5841781,2024,4,0.10744948225608842902,46002.5000000000000
5822271,2024,3,0.02506186489812161092,7500.0000000000000000
5568424,2024,3,0.05311976982538894336,11250.0000000000000000
5599363,2024,3,0.07055093143089502442,38400.0000000000000
5441593,2024,1,0.02826173672412465898,11074.0000000000000000
5557522,2024,1,0.09478892840575228081,5642.0000000000000000
5682082,2024,3,0.06387923592727202859,17750.0000000000000
5602991,2024,1,0.08801814409111499475,3546.00000000000000000
5593013,2024,3,0.01179069881029594277,12524.0000000000000
5668832,2024,3,0.01308531722352490452,21500.0000000000000
5558364,2024,3,0.04258435615674404863,13651.0000000000000
5672672,2024,3,0.66234276729559748428,12500.0000000000000
5591704,2024,4,0.21713101542857785923,6000.0000000000000000
5673624,2025,1,0.54531022622368191762,9600.0000000000000000
5667443,2024,4,0.07305151536301148546,62515.0000000000000
5586593,2024,3,0.01906739815042801976,50.00000000000000000
5571012,2024,1,0.42707981347573339730,13750.0000000000000
5668712,2024,3,0.07091372947264665620,10732.2500000000000000
5854582,2025,1,0.03579224026147336115,14310.0000000000000
5549794,2024,3,0.09329279257167192336,5939.0000000000000000
5568903,2024,2,0.08197705268805885719,18000.0000000000000
5596953,2024,3,0.09386178354549946004,10257.7500000000000000
5674644,2025,1,0.48045397225733879675,27500.0000000000000
5818062,2024,4,0.02932468961020576447,18311.0000000000000
5686461,2024,2,0.14632410504575841310,61313.0000000000000
5560244,2024,3,0.03557726498557869281,7274.0000000000000000
5591853,2024,3,0.17621511021973712210,25150.0000000000000
5862861,2024,4,0.04231453093934651155,37162.5000000000000
5674761,2024,2,0.01925947646193967950,64965.0000000000000
5822011,2024,3,0.02978172640014440078,5624.0000000000000000
5434473,2024,1,0.02040267545270961422,12194.7500000000000000
5810561,2024,3,0.00651052864597567152,6746.0000000000000000
5675982,2024,3,0.05056087881018218852,23000.0000000000000
5590621,2024,1,0.35294689434031232315,18066.7500000000000
5958321,2025,1,0.43164888261921482266,2611.25000000000000000
5864781,2024,4,0.06617994288141127953,24739.0000000000000
5820031,2024,3,0.01013404692887030854,6049.0000000000000000
5807723,2025,1,0.69406986189963061211,9378.5000000000000000
5960181,2025,1,0.02132821794779951605,4413.00000000000000000
5810173,2025,1,0.05143799049261340466,31050.0000000000000
5563893,2024,2,0.04629080636133243650,34717.0000000000000
5567642,2024,1,0.06005107224221430619,503.75000000000000000
5687582,2024,3,0.06510140977932110689,36150.0000000000000
5595512,2024,2,0.01599953512240946472,13156.0000000000000
5854981,2024,4,0.06288810635614671090,46150.0000000000000
5686593,2024,4,0.02255899144614725495,17411.0000000000000
5813062,2024,4,0.02081376690438729007,36448.0000000000000
5602722,2024,2,0.27881040892193308550,2500.00000000000000000
5861652,2025,1,0.42633688111272230468,12300.0000000000000000
5826863,2025,1,0.50279329608892789581,23305.2500000000000
5813852,2024,4,0.05938550260971381225,45505.0000000000000
5604003,2024,3,0.08809832723127629116,7450.0000000000000000
5552174,2024,3,0.03282182793073837820,46550.0000000000000
5666272,2024,3,0.02819337946490312757,25000.0000000000000
5684712,2024,3,0.03308760305423796189,37625.0000000000000
5588743,2024,3,0.51990853899407625295,4950.00000000000000000
5843322,2025,1,0.06214266631042292286,14533.0000000000000
5816052,2024,4,0.71444888635065676756,7500.0000000000000000
5565642,2024,1,0.05023217035801885563,26450.0000000000000
5603481,2024,1,0.45856688380586609875,33750.0000000000000
5821292,2024,4,0.01349978850862036312,52500.0000000000000
5432254,2024,2,0.36848344138065569584,33750.0000000000000
5593053,2024,3,0.07908670971972521813,83750.0000000000000
5440824,2024,2,0.13704499239696919784,55072.5000000000000
5811841,2024,3,0.02583246800428288593,45033.0000000000000
5586014,2024,4,0.03360228508859296688,39000.0000000000000
5366134,2024,1,0.29535060975575988878,5924.0000000000000000
5844962,2025,1,0.01716558123234021429,21385.0000000000000
5433373,2024,1,0.07407484127482577015,32000.0000000000000
5603493,2024,3,0.06439430064664433854,23750.0000000000000
5600354,2024,4,0.01233752744926017983,26380.0000000000000
5671822,2024,3,0.03450180582017937566,1228.25000000000000000
5845802,2025,1,0.11958997722122913434,10705.0000000000000000
5864642,2025,1,0.69558359621358269600,19862.7500000000000
5667282,2024,3,0.00919500344180635951,100092.0000000000000
5680071,2024,2,0.05357248597907431720,7077.0000000000000000
5815492,2024,4,0.01733071220141811960,12446.0000000000000000
5438384,2024,2,0.45230153435659957428,18001.0000000000000
5667253,2024,4,0.00876682918110627484,22356.7500000000000
5686934,2025,1,0.05991951757981076811,53000.0000000000000
5566134,2024,3,0.28785651278984794499,3738.50000000000000000
5554154,2024,3,0.03977911851966412759,30000.0000000000000
5586901,2024,1,0.37841811231991147336,5850.5000000000000000
5554232,2024,1,0.06097083436051352633,20000.0000000000000
5688032,2024,3,0.03161071595601515569,91800.0000000000000
5670402,2024,3,0.02467885844459912675,8559.0000000000000000
5819072,2024,4,0.35787781350562866389,15328.0000000000000
5588933,2024,3,0.05253475908307307370,59325.0000000000000
5682193,2024,4,0.02520866812561256161,62000.0000000000000
